51,205
21,84
60,139
39,124
45,139
25,162
39,88
43,193
31,122
22,59
31,136
28,142
49,166
18,96
56,75
49,146
39,130
25,131
26,146
51,150
33,115
38,164
29,153
55,184
28,97
30,146
61,130
43,101
37,129
32,140
42,165
33,126
39,167
50,187
46,174
58,149
17,82
38,126
41,119
46,143
44,153
59,156
21,74
33,112
42,158
41,140
44,108
38,159
41,136
30,57
32,82
42,114
42,169
23,141
39,90
24,135
57,159
34,125
45,123
51,122
39,118
43,185
30,127
55,131
59,138
31,151
49,155
31,126
27,129
46,158
52,184
45,123
35,114
42,148
45,172
40,141
44,115
59,153
45,138
49,166
35,129
41,123
37,96
48,141
29,111
18,148
26,116
28,155
21,152
41,143
23,99
39,151
37,110
50,150
41,149
52,145
42,137
30,145
51,152
42,188
46,156
52,156
57,194
35,166
52,171
35,159
52,157
42,140
46,98
47,159
53,127
57,103
50,160
56,177
48,158
38,164
45,88
37,177
35,141
59,133
54,152
58,173
42,146
34,170
40,159
27,152
51,171
41,117
47,167
42,131
